Incidenct Code;Customer Company Group;Customer Company;Create Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Urgency;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000000967917;IBERIA;IBERIA;01.01.18 11:13;01.01.18 13:20;Resolved;ALERTA-CRI ERROR CRITICO ib.com PNRS CORTADOS POR ENCIMA DE UMBRAL;AM_MTO_IBCOM;Application Tower;Ib.com;Alta;2-Alta;1/1/2018 5:43:53 PM, NIIT.rjha, We checked and found that we are getting DE authorization error which is coming due to invalid format of credit card. This issue is related to INC000000967930. We are relating and closing this incident and will track the progress in another incident. Mail attached. 1/1/2018 4:14:39 PM, NIIT.rjha, Checking the logs;MANTENIMIENTO IB.COM;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000967918;IBERIA;IBERIA;01.01.18 09:42;01.01.18 09:42;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad para poder reiniciarle la contraseña.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA CM RADIO (ABRW00)
INC000000967920;IBERIA;IBERIA;01.01.18 09:40;10.01.18 16:15;Resolved;INCIDENCIAS ENLACES WB´s CON AVIONES EN RAMPA;AIRPORT2;Application Tower;Aeropuertos;Baja;4-Baja;Se comprueba con INFORM que el telegrama CAV recibida tiene una hora ET errónea. No se trata de un fallos en la aplicación. resolvemos incidencia.;Mantenimiento Aeropuertos;INCIDENT;10.01.18;SOFTWARE FAILURE;;9;TERMINAL T4;DESP.AVIONES_JEF.SERV. (AHMDC01J)
INC000000967922;IBERIA;IBERIA;01.01.18 11:49;01.01.18 11:49;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;;
INC000000967924;IBERIA;IBERIA;01.01.18 12:15;03.01.18 10:42;Resolved;[PORTAL EMPLEADO] Nombre incorrecto;OAM/OIM/OVD/OIF/OSB Support;Application Tower;HerramientasIT;Baja;4-Baja;[S-OIM] El usuario es correcto en OIM y en todos los recursos y aparece con el nombre Sien Wei Yang. Resolvemos esta incidencia ya que tanto en PS como en OIM el usuario es correcto Por favor, si se reporta algun problema adicional, adjunte evidencia de la aplicación en la que sus datos son incorrectos;Mantenimiento Herramientas IT & DBAs;INCIDENT;03.01.18;SOFTWARE FAILURE;APPLICATION ERROR;2;TERMINAL T4;ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000000967926;IBERIA;IBERIA;01.01.18 10:48;01.01.18 10:48;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;01.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000967928;IBERIA;IBERIA;01.01.18 11:15;05.01.18 10:12;Resolved;No marca reloj de fichaje.;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Baja;4-Baja;User confirmation received;Mantenimiento Dir. Técnica;INCIDENT;05.01.18;SOFTWARE FAILURE;;4;VLC AEROPUERTO;TMA MECANICA VALENCIA (AMNLR0VB)
INC000000967929;IBERIA;IBERIA;01.01.18 10:59;03.01.18 20:27;Resolved;Salto pagina en telex;IAG SITA Support;EUC;EUC;Media;3-Medio;Tech Name: Jesús - Sermicro Iberia Time/Date on site: 2018-01-02 13:20:07 Time/Date off site: 2018-01-02 13:30:55 Resolution details: Technician has reinstalled the driver, documents print normally now Release by IB user: Cristobal;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;03.01.18;SOFTWARE FAILURE;;2;TFS AEROPUERTO;COORDINACION Y CONTROL TF (AHALUSCI)
INC000000967930;IBERIA;IBERIA;01.01.18 11:15;02.01.18 16:11;Resolved;ALERTA-CRI ERROR CRITICO ib.com PASARELA PAGO PPG IBCOM;AM_MTO_IBCOM;Application Tower;Ib.com;Alta;2-Alta;1/2/2018 8:08:59 PM, NIIT.rjha, We moniored alerts for few hours and did not find any issue. We are closing incident. 1/2/2018 6:10:25 PM, NIIT.rjha, We have cleared teh cache. Monitoring incident. 1/2/2018 5:08:07 PM, NIIT.rjha, We have identified affected markets. Will refresh the cache. 1/1/2018 9:09:14 PM, NIIT.rjha, Amadeus responded to IR and according to them problem may be related to credit card acceptance. As we stated earlier, cache refreshing may solve this problem, we will wait till today midnight for cache refresh process else we will do it manually. Copied Amadeus comment for reference. Mail attached. 1/1/2018 8:26:34 PM, NIIT.rjha, Amadeus asked for more information. We provided more JSESSION ID for investigation. Comment copied. Mail attached. 1/1/2018 7:39:47 PM, NIIT.rjha, Error count is increasing and it seems that we need to clear cache. We will do it in mid night today. Apart from this we checked that number of error E:4613 is high from Amadeus end. Raised an IR for the same. 1/1/2018 7:03:45 PM, NIIT.rjha, We found that error count is increasing and it need cache refresh. We are downgrading the priority to Medium-High. Investigating further we found error 4613 is coming continuously. We will raise an IR for this. Mail attached. 1/1/2018 6:16:46 PM, NIIT.rjha, We analyzed the logs and found that problem occur in leg B. It seems that we need to refresh the cache. We are monitoring the count. Mail attached. 1/1/2018 4:18:37 PM, NIIT.rjha, Analyzing the logs.;MANTENIMIENTO IB.COM;INCIDENT;02.01.18;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000000967932;IBERIA;IBERIA;01.01.18 13:55;01.01.18 13:55;Resolved;Llamada centralita;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le proporciona al usuario el telefono que necesita para su pesquisa.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;;0;SIN IDENTIFICAR;
INC000000967936;IBERIA;IBERIA;01.01.18 11:54;01.01.18 11:54;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;ASIST.AVION_CYD_S.AUX. (AHMDR03X)
INC000000967937;IBERIA;IBERIA;01.01.18 12:37;01.01.18 12:37;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;01.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000967938;IBERIA;IBERIA;01.01.18 16:30;01.01.18 16:34;Resolved;[ICC001] Eliminar vuelo Salesforce SALA VIP;SSCCLMZ;Service Ops Tower;Service Ops Tower;Alta;1-Crítica;Realizado;Unidad Control del Servicio;INCIDENT;01.01.18;DATA ISSUE;;0;SIN IDENTIFICAR (MADRID BARAJAS);PREMIUM HUB MAD BJS (BCLTP0BJ)
INC000000967939;IBERIA;IBERIA;01.01.18 14:20;01.01.18 14:51;Resolved;La aplicación merlin no está funcionando;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Media;3-Medio;Se confirma con el usuario que ya puede acceder. Ha habido un problema con los APLIWEBLA y B;Mantenimiento Operaciones;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR (MADRID BARAJAS);GE.ESTAND Y PROC- ASIST T (AVY000AS)
INC000000967941;IBERIA;IBERIA;01.01.18 13:17;02.01.18 07:53;Resolved;Solicita reset de usuario de AMADEUS;CSUSAS;Delivery;Delivery;Baja;4-Baja;Se hace reset e informa a usuario de contraseña amadeus;Unidad de Operaciones Ordenadores;INCIDENT;02.01.18;ACCESS FAILURE;PASSWORD RESET;1;SIN IDENTIFICAR;
INC000000967942;IBERIA;IBERIA;01.01.18 17:45;01.01.18 17:45;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;IBZ AEROPUERTO;TRAFICO IBIZA (AHAKISAP)
INC000000967944;IBERIA;IBERIA;01.01.18 13:29;02.01.18 13:35;Resolved;Al parecer el SAP no funciona correctamente, los movimientos 201-202-261-262;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Baja;4-Baja;;Mantenimiento Dir. Técnica;INCIDENT;02.01.18;SOFTWARE FAILURE;APPLICATION ERROR;1;SIN IDENTIFICAR (ZURICH);SUIZA/ZURICH/RCL (ALSAASZE)
INC000000967949;IBERIA;IBERIA;01.01.18 14:18;05.01.18 09:48;Resolved;1/01/18 14:05 added by msend Contact with IBCOM on call if the alarms persists during 10 mins. The c;TSSUNUNISYS-SOP;Server Tower;Server Tower;Baja;4-Baja;Solucionado;Unidad de Operaciones Ordenadores;INCIDENT;05.01.18;SOFTWARE FAILURE;;4;MANDOS;
INC000000967955;IBERIA;IBERIA;01.01.18 00:40;01.01.18 00:41;Resolved;Desde SOPORTE HOST solicitan que se mate el TIMRUO en PROD-C, y TIMRUN en PREPRO y TEST-X.;Operación Ordenadores Unisys;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Resuelto;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000967956;IBERIA;IBERIA;01.01.18 01:55;01.01.18 03:57;Resolved;LINUX_ibm - bddwhl1.ib: DiskGroup +ASM1_RECO busy at 81.30%. Call to DBA-SERVER-Support.;DBA-Server-Support;Server Tower;Server Tower;Media;3-Medio;now its 70%;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000967957;IBERIA;IBERIA;01.01.18 01:58;01.01.18 03:36;Resolved;LINUX_sun - bdl1.ib : Filesystem apli esta ocupado al 80.00%. Call to DBA-SERVER-Support from 08:00;DBA-Server-Support;Server Tower;Server Tower;Media;3-Medio;old logs removed and now its 41%;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000967959;IBERIA;IBERIA;01.01.18 03:54;02.01.18 11:37;Resolved;Problema con multifunción Konica Minolta NTCTCMKM017;Soporte KONIKA/MINOLTA;KONICA;EUC;Media;3-Medio;resuelto;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02.01.18;PRINTING FAILURE;;1;SIN IDENTIFICAR;
INC000000967967;IBERIA;IBERIA;01.01.18 08:07;05.01.18 20:39;Resolved;Usuaria no puede acceder al Citrix;IAG SITA Support;EUC;EUC;Media;3-Medio;"""5/1-Resolution Details: It's a proxy issue on ALL AENA-IB NETWORK. Nobody can access to CITRIX web app (connection error). This may be managed by Proxy Team. Please advise to Iberia SD in order to pass this issue to the correct team. 3/1- escalated for ETA 2/1- awaiting ETA """;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;05.01.18;SOFTWARE FAILURE;;4;TERMINAL T4;ASIST.PAX T4_CECA_AG (AHMDS05A)
INC000000967968;IBERIA;IBERIA;01.01.18 07:20;;Pending;emisora averiada;Soporte Radio/Analógico;Network Tower;Network Tower;Media;3-Medio;Pte usuario;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02.01.18;DEFAULT;DEFAULT;31;TFS AEROPUERTO;RAMPA TENERIFE SUR (AHALUMRA)
INC000000967970;IBERIA;IBERIA;01.01.18 09:40;01.01.18 09:40;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD UNLOCK;0;SISTEMAS(MANDOS-ANÁLISIS-PRODU;MANAGER OPERACIONES (ASXA00)
INC000000967973;IBERIA;IBERIA;01.01.18 08:14;03.01.18 05:40;Resolved;[GET001] En la aplicación Máximo cuando se pasa al nuevo año, al intentar de pasar info (ejm: repost;AIRPORT1;Application Tower;Aeropuertos;Media;3-Medio;"Issue resolved. Got user confirmation. ""Si, me comunican los compañeros de que ya funciona. Muchas gracias, un saludo."" Hence closing the incident.";Mantenimiento Aeropuertos;INCIDENT;03.01.18;SOFTWARE FAILURE;;2;TERMINAL T4;DAMB_SE_PRE.EQ_SPV (AHMD006S)
INC000000967974;IBERIA;IBERIA;01.01.18 08:22;01.01.18 11:06;Resolved;wveil no leee los parking;SSCCLMZ;Service Ops Tower;Service Ops Tower;Alta;2-Alta;Se reporta a AENA y reinician el proceso. Se confirma que está ok.;Unidad Control del Servicio;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;BCN AEROPUERTO;MNG. CTROL OPERATIVO Y CO (AHABC0)
INC000000967976;IBERIA;IBERIA;01.01.18 09:32;09.01.18 10:19;Resolved;AMO001 - ERROR ORDEN SAP;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Baja;4-Baja;ACCIONES: se informa que las WO no han generado order SAP al no tener definidas event id en las mismas. Tras varios días sin recibir contestación se procede al cierre de la incidencia informando al usuario. PRUEBAS: no aplica. IMPACTO: sin impacto.;Mantenimiento Operaciones;INCIDENT;09.01.18;SOFTWARE FAILURE;;8;SIN IDENTIFICAR;
INC000000967977;IBERIA;IBERIA;01.01.18 12:04;01.01.18 12:04;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;ASIST.AVION_CYD_S.AUX. (AHMDR03X)
INC000000967979;IBERIA;IBERIA;01.01.18 09:39;05.01.18 14:24;Resolved;LINUX_ibm - El job: R50O211 con OrderID: 2wxwc del DataCenter: CTM_SERVER en la maquina: zlc, Aplica;TKTBSP;Application Tower;Cobol Domain;Baja;4-Baja;Se Modifica el JOB a terminado correctamente, una vez revisado, y comprobada la informacion;Mantenimiento COBOL;INCIDENT;05.01.18;PROCESS FAILURE;BATCH;4;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000000967981;IBERIA;IBERIA;01.01.18 12:40;01.01.18 12:40;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA CM RADIO (ABRW00)
INC000000967985;IBERIA;IBERIA;01.01.18 10:41;01.01.18 10:41;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000967988;IBERIA;IBERIA;01.01.18 11:32;04.01.18 06:23;Resolved;Bag tag printers does not work.;IAG SITA Support;EUC;EUC;Alta;2-Alta;Sita closure report -------------------- Tech name: Jordi Batlle Suñé Time/Date on site: 01/02/2017 08:07:47 UTC Time/Date off site: 01/02/2017 08:39:09 UTC Work done: There was a general power outage. Today all is working properly. I have also checked it. IB release person: Mari Paz;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;04.01.18;PRINTING FAILURE;;3;BCN AEROPUERTO;ALOBEX BARCELONA (AHABS0XL)
INC000000967992;IBERIA;IBERIA;01.01.18 12:17;05.01.18 08:05;Resolved;"P09: Problemas Billetes free: Error ""..no ha podido procesarse (4631)""";JAVA Apps Support;Application Tower;RRHH;Baja;4-Baja;User's 5 tickets have been submitted for reimbursement .Status of the tickets in the database is RE.;Mantenimiento Corporativa y RRHH;INCIDENT;05.01.18;SOFTWARE FAILURE;;4;SIN IDENTIFICAR;
INC000000967995;IBERIA;IBERIA;01.01.18 12:21;02.01.18 08:32;Resolved;LINUX_ibm - SIC011:ERROR EN PROCESO DAILY;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Se comprueba que el proceso de Sales termina con errores en el proceso que genera la copia de las particiones, no puede generar backup de nuevas particiones por existir unas ya creadas. Se eliminan a mano las particiones, se mueve el fichero y se ejecuta de nuevo el proceso.;Mantenimiento BI;INCIDENT;02.01.18;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000000967997;IBERIA;IBERIA;01.01.18 12:48;01.01.18 12:48;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000967998;IBERIA EXPRESS;IBERIA EXPRESS;01.01.18 12:58;01.01.18 12:58;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000968000;IBERIA;IBERIA;01.01.18 13:04;01.01.18 13:04;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000968004;IBERIA;IBERIA;01.01.18 14:09;01.01.18 15:33;Resolved;LINUX - ibcrobotl.ib : Filesystem delivery-robot-batch esta ocupado al 90.00%. Abrir ARS a grupo AM_;AM_MTO_IBCOM;Application Tower;Ib.com;Baja;4-Baja;1/1/2018 8:00:55 PM, NIIT.rjha, Zipped files to save space. Space is under 90%. Closing incident. Problem: Server space was more than 90% limit. Impact:Medium as it may stop some functionality due to unavailability of space. Resolution: Cleared space to maintain server space below its threshold limit.;MANTENIMIENTO IB.COM;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;MANDOS;
INC000000968010;IBERIA;IBERIA;01.01.18 16:58;08.01.18 13:52;Resolved;Error creación ordenes ZAR8;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;3-Medio;;Mantenimiento Dir. Técnica;INCIDENT;08.01.18;SOFTWARE FAILURE;;7;EDIF.101 - HANGAR 3;SOPORTE PRODUCCIÓN MANTO (AMNLL0F0)
INC000000968012;IBERIA;IBERIA;01.01.18 14:33;02.01.18 08:34;Resolved;LINUX_ibm - SIC011:ERROR EN PROCESO DAILY;Aplicaciones BI;Application Tower;BI;Media;3-Medio;Se comprueba que el proceso de Sales termina con errores por no haber espacio en la bbdd, en el tablespace TS_DWIAG_DAT. Se abre una incidencia alta al grupo de bbdd para que amplien el espacio cuanto antes.;Mantenimiento BI;INCIDENT;02.01.18;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000000968019;IBERIA;IBERIA;01.01.18 15:30;03.01.18 15:31;Resolved;Fallo Software:problemas de funcionamiento de outlook;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;Issue resolved after reset of outlook;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;03.01.18;SOFTWARE FAILURE;;2;EDIF.101 - HANGAR 3;SOPORTE PRODUCCIÓN MANTO (AMNLL0F0)
INC000000968020;IBERIA;IBERIA;01.01.18 16:05;01.01.18 16:05;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;SM ATENCION AL PASAJERO (AH1100)
INC000000968022;IBERIA;IBERIA;01.01.18 17:02;01.01.18 17:02;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad para poder reiniciarle la contraseña.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;EDIFICIO T.M.A. - ALMACENES;CARPINTERIA (AMIRT0EB)
INC000000968023;IBERIA;IBERIA;01.01.18 17:12;01.01.18 18:55;Resolved;LINUX_ibm - zbdl1.ib: DiskGroup +ASM1_RECO ocupado al 90.23%. Avisar a Avisar a TSIBM-BBDD en horari;DBA-Server-Support;Server Tower;Server Tower;Media;3-Medio;DISKGROUP Total_GB Free_GB Available% USABLE_FILE_GB ------------------------------ ---------- ---------- ---------- -------------- DATA 27487.55 2844.48 10.35 1165.81836 OCR 32.54 31.46 96.69 7.71679688 RECO 1023.99 739.74 72.24 369.871094 ACFS_PROC 31.99 3.69 11.53 1.84375;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000968024;IBERIA;IBERIA;01.01.18 17:13;01.01.18 17:13;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;BCN AEROPUERTO;MNG. CTROL OPERATIVO Y CO (AHABC0)
INC000000968051;IBERIA;IBERIA;01.01.18 14:18;01.01.18 14:50;Resolved;MERLIN caida;TSSUNUNISYS-BBDD;Server Tower;Server Tower;Alta;2-Alta;Se confirma con el usuario que ya puede acceder. Ha habido un problema con los APLIWEBLA y B;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;NEO-MARTINEZ VILLERGAS 49;CREW CONTROL (APP002)
INC000000968053;IBERIA;IBERIA;01.01.18 14:17;01.01.18 14:51;Resolved;[Gaudi Realtime]problemas con la aplicacion de Gaudi Real time.;TSSUNUNISYS-BBDD;Server Tower;Server Tower;Alta;2-Alta;Se confirma con el usuario que ya puede acceder. Ha habido un problema con los APLIWEBLA y B;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR (BARCELONA);RAMPA BARCELONA (AHABU0RA)
INC000000968063;IBERIA;IBERIA;01.01.18 14:56;01.01.18 14:56;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000968064;IBERIA;IBERIA;01.01.18 15:17;01.01.18 15:17;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;ASIST.PAX T4_TRA_SPV (AHMDST4V)
